"commune","time","nationality","age","value"
"Vienna 14th district, Penzing <914> ",2002,"Austria.","Up.to.14.years.old.","9,110"
"Vienna 14th district, Penzing <914> ",2003,"Austria.","Up.to.14.years.old.","9,218"
"Vienna 14th district, Penzing <914> ",2004,"Austria.","Up.to.14.years.old.","9,366"
"Vienna 14th district, Penzing <914> ",2005,"Austria.","Up.to.14.years.old.","9,534"
"Vienna 14th district, Penzing <914> ",2006,"Austria.","Up.to.14.years.old.","9,568"
"Vienna 14th district, Penzing <914> ",2007,"Austria.","Up.to.14.years.old.","9,552"
"Vienna 14th district, Penzing <914> ",2008,"Austria.","Up.to.14.years.old.","9,429"
"Vienna 14th district, Penzing <914> ",2009,"Austria.","Up.to.14.years.old.","9,244"
"Vienna 14th district, Penzing <914> ",2010,"Austria.","Up.to.14.years.old.","9,095"
"Vienna 14th district, Penzing <914> ",2011,"Austria.","Up.to.14.years.old.","9,090"
"Vienna 14th district, Penzing <914> ",2012,"Austria.","Up.to.14.years.old.","9,035"
"Vienna 14th district, Penzing <914> ",2013,"Austria.","Up.to.14.years.old.","9,035"
"Vienna 14th district, Penzing <914> ",2014,"Austria.","Up.to.14.years.old.","9,109"
"Vienna 14th district, Penzing <914> ",2015,"Austria.","Up.to.14.years.old.","9,211"
"Vienna 15th distr.,Rudolfsheim0Fünfhaus<915> ",1971,"Austria.","Up.to.14.years.old.","9,999"
"Vienna 15th distr.,Rudolfsheim0Fünfhaus<915> ",1981,"Austria.","Up.to.14.years.old.","7,484"
"Vienna 15th distr.,Rudolfsheim0Fünfhaus<915> ",1991,"Austria.","Up.to.14.years.old.","6,342"
"Vienna 15th distr.,Rudolfsheim0Fünfhaus<915> ",2001,"Austria.","Up.to.14.years.old.","6,237"
"Vienna 15th distr.,Rudolfsheim0Fünfhaus<915> ",2002,"Austria.","Up.to.14.years.old.","6,388"
"Vienna 15th distr.,Rudolfsheim0Fünfhaus<915> ",2003,"Austria.","Up.to.14.years.old.","6,558"
"Vienna 15th distr.,Rudolfsheim0Fünfhaus<915> ",2004,"Austria.","Up.to.14.years.old.","7,014"
"Vienna 15th distr.,Rudolfsheim0Fünfhaus<915> ",2005,"Austria.","Up.to.14.years.old.","7,222"
"Vienna 15th distr.,Rudolfsheim0Fünfhaus<915> ",2006,"Austria.","Up.to.14.years.old.","7,182"
